TimeSeries ID,instance/network/sent_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/sent_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="1345602841643241709" resource.labels."zone"="europe-central2-c" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240520-173618
instance_name,instance-20240520-173618
project_id,ddls-owen-gombas
Wed May 22 2024 15:41:00 GMT+0200 (Central European Summer Time),455.4166666666667
Wed May 22 2024 15:42:00 GMT+0200 (Central European Summer Time),870.35
Wed May 22 2024 15:43:00 GMT+0200 (Central European Summer Time),223606.73333333334
Wed May 22 2024 15:44:00 GMT+0200 (Central European Summer Time),2747571.8333333335
Wed May 22 2024 15:45:00 GMT+0200 (Central European Summer Time),8736951.983333332
Wed May 22 2024 15:46:00 GMT+0200 (Central European Summer Time),8013328.283333333
Wed May 22 2024 15:47:00 GMT+0200 (Central European Summer Time),8024993.116666666
Wed May 22 2024 15:48:00 GMT+0200 (Central European Summer Time),8377221.15
Wed May 22 2024 15:49:00 GMT+0200 (Central European Summer Time),7996062.783333333
Wed May 22 2024 15:50:00 GMT+0200 (Central European Summer Time),8066824.6
Wed May 22 2024 15:51:00 GMT+0200 (Central European Summer Time),8385926.2
Wed May 22 2024 15:52:00 GMT+0200 (Central European Summer Time),7926214.9
Wed May 22 2024 15:53:00 GMT+0200 (Central European Summer Time),7797320.283333333
Wed May 22 2024 15:54:00 GMT+0200 (Central European Summer Time),7122300.033333333
Wed May 22 2024 15:55:00 GMT+0200 (Central European Summer Time),7279687.583333333
Wed May 22 2024 15:56:00 GMT+0200 (Central European Summer Time),7854492.233333333
Wed May 22 2024 15:57:00 GMT+0200 (Central European Summer Time),7387943.3
Wed May 22 2024 15:58:00 GMT+0200 (Central European Summer Time),7796885.766666667
Wed May 22 2024 15:59:00 GMT+0200 (Central European Summer Time),7252535.733333333
Wed May 22 2024 16:00:00 GMT+0200 (Central European Summer Time),7987045.883333334
Wed May 22 2024 16:01:00 GMT+0200 (Central European Summer Time),7717534.066666666
Wed May 22 2024 16:02:00 GMT+0200 (Central European Summer Time),7463978.35
Wed May 22 2024 16:03:00 GMT+0200 (Central European Summer Time),7801981.133333334
Wed May 22 2024 16:04:00 GMT+0200 (Central European Summer Time),7279675.933333334
Wed May 22 2024 16:05:00 GMT+0200 (Central European Summer Time),7834539.866666666
Wed May 22 2024 16:06:00 GMT+0200 (Central European Summer Time),7174416.75
Wed May 22 2024 16:07:00 GMT+0200 (Central European Summer Time),7388188.783333333
Wed May 22 2024 16:08:00 GMT+0200 (Central European Summer Time),7809666.466666667
Wed May 22 2024 16:09:00 GMT+0200 (Central European Summer Time),7435273.733333333
Wed May 22 2024 16:10:00 GMT+0200 (Central European Summer Time),8862402.433333334
Wed May 22 2024 16:11:00 GMT+0200 (Central European Summer Time),9205697.633333333
Wed May 22 2024 16:12:00 GMT+0200 (Central European Summer Time),7355126.55
Wed May 22 2024 16:13:00 GMT+0200 (Central European Summer Time),7792163.35
Wed May 22 2024 16:14:00 GMT+0200 (Central European Summer Time),7118050.6
Wed May 22 2024 16:15:00 GMT+0200 (Central European Summer Time),7232127.083333333
Wed May 22 2024 16:16:00 GMT+0200 (Central European Summer Time),7933711.35
Wed May 22 2024 16:17:00 GMT+0200 (Central European Summer Time),8716533.8
Wed May 22 2024 16:18:00 GMT+0200 (Central European Summer Time),8681287.116666667
Wed May 22 2024 16:19:00 GMT+0200 (Central European Summer Time),7371174.95
Wed May 22 2024 16:20:00 GMT+0200 (Central European Summer Time),8606006.9
Wed May 22 2024 16:21:00 GMT+0200 (Central European Summer Time),7800592.583333333
Wed May 22 2024 16:22:00 GMT+0200 (Central European Summer Time),7198607.7
Wed May 22 2024 16:23:00 GMT+0200 (Central European Summer Time),7596395.633333334
Wed May 22 2024 16:24:00 GMT+0200 (Central European Summer Time),8991311.8
Wed May 22 2024 16:25:00 GMT+0200 (Central European Summer Time),7926662.1
Wed May 22 2024 16:26:00 GMT+0200 (Central European Summer Time),7967171.5
Wed May 22 2024 16:27:00 GMT+0200 (Central European Summer Time),8568297.866666667
Wed May 22 2024 16:28:00 GMT+0200 (Central European Summer Time),8361707.566666666
Wed May 22 2024 16:29:00 GMT+0200 (Central European Summer Time),9071485.983333332
Wed May 22 2024 16:30:00 GMT+0200 (Central European Summer Time),6716111.733333333
Wed May 22 2024 16:31:00 GMT+0200 (Central European Summer Time),7312628.433333334
Wed May 22 2024 16:32:00 GMT+0200 (Central European Summer Time),7811386.566666666
Wed May 22 2024 16:33:00 GMT+0200 (Central European Summer Time),7510411.633333334
Wed May 22 2024 16:34:00 GMT+0200 (Central European Summer Time),9214868.35
Wed May 22 2024 16:35:00 GMT+0200 (Central European Summer Time),8380515.833333333
Wed May 22 2024 16:36:00 GMT+0200 (Central European Summer Time),6713688.366666666
Wed May 22 2024 16:37:00 GMT+0200 (Central European Summer Time),7871113.983333333
Wed May 22 2024 16:38:00 GMT+0200 (Central European Summer Time),6650851.566666666