TimeSeries ID,value_with_defaults_aggregate remote_type=External (or VMs Different Project),value_with_defaults_aggregate remote_type=Google Services
remote_type,External (or VMs Different Project),Google Services
Wed May 22 2024 14:15:00 GMT+0200 (Central European Summer Time),0.4,0.2
Wed May 22 2024 14:16:00 GMT+0200 (Central European Summer Time),0.03333333333333333,0.21666666666666667
Wed May 22 2024 14:17:00 GMT+0200 (Central European Summer Time),0.45,0.2833333333333333
Wed May 22 2024 14:18:00 GMT+0200 (Central European Summer Time),0.2,0.05
Wed May 22 2024 14:19:00 GMT+0200 (Central European Summer Time),0.2,0.08333333333333333
Wed May 22 2024 14:20:00 GMT+0200 (Central European Summer Time),0.43333333333333335,0.13333333333333333
Wed May 22 2024 14:21:00 GMT+0200 (Central European Summer Time),0.41666666666666663,0.06666666666666667
Wed May 22 2024 14:22:00 GMT+0200 (Central European Summer Time),0.23333333333333334,0.2
Wed May 22 2024 14:23:00 GMT+0200 (Central European Summer Time),0.25,0.15
Wed May 22 2024 14:24:00 GMT+0200 (Central European Summer Time),0.18333333333333332,0.11666666666666667
Wed May 22 2024 14:25:00 GMT+0200 (Central European Summer Time),0.5666666666666667,0.15
Wed May 22 2024 14:26:00 GMT+0200 (Central European Summer Time),0.18333333333333332,0.13333333333333333
Wed May 22 2024 14:27:00 GMT+0200 (Central European Summer Time),0.3333333333333333,0.26666666666666666
Wed May 22 2024 14:28:00 GMT+0200 (Central European Summer Time),0.21666666666666667,0.03333333333333333
Wed May 22 2024 14:29:00 GMT+0200 (Central European Summer Time),0.05,0.05
Wed May 22 2024 14:30:00 GMT+0200 (Central European Summer Time),0.2,0.11666666666666667
Wed May 22 2024 14:31:00 GMT+0200 (Central European Summer Time),0.5166666666666666,0.13333333333333333
Wed May 22 2024 14:32:00 GMT+0200 (Central European Summer Time),0.4,0.05
Wed May 22 2024 14:33:00 GMT+0200 (Central European Summer Time),0.16666666666666666,0.11666666666666667
Wed May 22 2024 14:34:00 GMT+0200 (Central European Summer Time),0.11666666666666667,0.18333333333333332
Wed May 22 2024 14:35:00 GMT+0200 (Central European Summer Time),0.2,0.18333333333333332
Wed May 22 2024 14:36:00 GMT+0200 (Central European Summer Time),0.35,0.18333333333333332
Wed May 22 2024 14:37:00 GMT+0200 (Central European Summer Time),0.15,0.25
Wed May 22 2024 14:38:00 GMT+0200 (Central European Summer Time),0.30000000000000004,0.16666666666666666